id,participant_id,decision,severity,explanation,performance,responsibility,discrimination,cost,user_choice
1,8,,,,,,,,
2,22,,,,,,,,
3,23,,,,,,,,hospital_a
4,23,,,,,,,,hospital_b
5,23,,,,,,,,hospital_a
6,23,,,,,,,,hospital_b
7,23,,,,,,,,hospital_a
8,23,,,,,,,,hospital_b
9,23,,,,,,,,hospital_a
10,23,,,,,,,,hospital_b
11,23,,,,,,,,hospital_a
12,23,,,,,,,,hospital_b
13,23,,,,,,,,hospital_a
14,23,,,,,,,,hospital_b
15,23,,,,,,,,hospital_a
16,23,,,,,,,,hospital_a
17,23,,,,,,,,hospital_b
18,23,,,,,,,,hospital_a
19,23,,,,,,,,hospital_b
20,23,,,,,,,,hospital_a
21,23,,,,,,,,hospital_b
22,23,,,,,,,,hospital_a
